city,state,geoid,Total housing units,Vacant housing units,Occupied housing units,Owner occupied housing units,Renter occupied housing units,Median gross rent,Total households,Family households,Family households - Married couple family,Family households - Other family,"Family households - Other family - M householder,no wife","Family households - Other family - F householder,no husband",Nonfamily households,Nonfamily households - Householder living alone,Nonfamily households - Householder not living alone,Total household population,In family households,In family households - married couple,In family households - married couple - Relatives,In family households - married couple - Nonrelatives,"In family households - M householder,no wife","In family households - M householder,no wife - Relatives","In family households - M householder,no wife - Nonrelatives","In family households - F householder,no husband","In family households - F householder,no husband - Relatives","In family households - F householder,no husband - Nonrelatives",In nonfamily households
"Corbin City","New Jersey","16000US3415160",252.0,21.0,231.0,178.0,53.0,1330.0,231.0,170.0,138.0,32.0,1.0,31.0,61.0,44.0,17.0,625.0,541.0,434.0,434.0,0.0,3.0,3.0,0.0,104.0,87.0,17.0,84.0
"Country Lake Estates","New Jersey","16000US3415250",1409.0,40.0,1369.0,1137.0,232.0,899.0,1369.0,1052.0,744.0,308.0,133.0,175.0,317.0,244.0,73.0,3584.0,3192.0,2189.0,2168.0,21.0,326.0,300.0,26.0,677.0,677.0,0.0,392.0
"Cranbury","New Jersey","16000US3415520",777.0,24.0,753.0,632.0,121.0,998.0,753.0,553.0,473.0,80.0,36.0,44.0,200.0,169.0,31.0,2099.0,1861.0,1608.0,1608.0,0.0,109.0,109.0,0.0,144.0,133.0,11.0,238.0
"Crandon Lakes","New Jersey","16000US3415610",567.0,82.0,485.0,465.0,20.0,,485.0,444.0,306.0,138.0,62.0,76.0,41.0,37.0,4.0,1507.0,1461.0,1001.0,1001.0,0.0,253.0,241.0,12.0,207.0,192.0,15.0,46.0
"Cresskill","New Jersey","16000US3415820",3299.0,171.0,3128.0,2562.0,566.0,2001.0,3128.0,2378.0,1988.0,390.0,156.0,234.0,750.0,702.0,48.0,8466.0,7662.0,6613.0,6613.0,0.0,436.0,436.0,0.0,613.0,613.0,0.0,804.0
"Crestwood Village","New Jersey","16000US3415910",6380.0,839.0,5541.0,4987.0,554.0,644.0,5541.0,2000.0,1744.0,256.0,68.0,188.0,3541.0,3432.0,109.0,7727.0,4065.0,3511.0,3511.0,0.0,150.0,150.0,0.0,404.0,404.0,0.0,3662.0
"Dayton","New Jersey","16000US3416630",2458.0,132.0,2326.0,1953.0,373.0,1589.0,2326.0,1991.0,1719.0,272.0,46.0,226.0,335.0,274.0,61.0,7940.0,7533.0,6674.0,6674.0,0.0,297.0,280.0,17.0,562.0,562.0,0.0,407.0
"Deal","New Jersey","16000US3416660",905.0,529.0,376.0,261.0,115.0,1165.0,376.0,231.0,197.0,34.0,22.0,12.0,145.0,88.0,57.0,929.0,726.0,616.0,599.0,17.0,72.0,66.0,6.0,38.0,38.0,0.0,203.0
"Delaware","New Jersey","16000US3417200",50.0,18.0,32.0,25.0,7.0,,32.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Delaware Park","New Jersey","16000US3417260",212.0,40.0,172.0,172.0,0.0,,172.0,137.0,112.0,25.0,15.0,10.0,35.0,35.0,0.0,494.0,459.0,395.0,395.0,0.0,30.0,30.0,0.0,34.0,34.0,0.0,35.0
"Demarest","New Jersey","16000US3417530",1743.0,94.0,1649.0,1472.0,177.0,2001.0,1649.0,1450.0,1282.0,168.0,47.0,121.0,199.0,175.0,24.0,4894.0,4672.0,4230.0,4230.0,0.0,112.0,112.0,0.0,330.0,323.0,7.0,222.0
"Diamond Beach","New Jersey","16000US3417815",710.0,635.0,75.0,60.0,15.0,,75.0,75.0,60.0,15.0,0.0,15.0,0.0,0.0,0.0,147.0,147.0,118.0,118.0,0.0,0.0,0.0,0.0,29.0,29.0,0.0,0.0
"Dover","New Jersey","16000US3418070",5665.0,225.0,5440.0,2573.0,2867.0,1263.0,5440.0,4085.0,2641.0,1444.0,593.0,851.0,1355.0,1044.0,311.0,17928.0,15685.0,10261.0,9471.0,790.0,2181.0,1945.0,236.0,3243.0,2891.0,352.0,2243.0
"Dover Beaches North","New Jersey","16000US3418148",4030.0,3241.0,789.0,718.0,71.0,1012.0,789.0,423.0,355.0,68.0,33.0,35.0,366.0,356.0,10.0,1287.0,911.0,774.0,774.0,0.0,64.0,64.0,0.0,73.0,73.0,0.0,376.0
"Dover Beaches South","New Jersey","16000US3418151",2593.0,1816.0,777.0,594.0,183.0,1398.0,777.0,344.0,255.0,89.0,39.0,50.0,433.0,433.0,0.0,1292.0,859.0,631.0,631.0,0.0,93.0,93.0,0.0,135.0,135.0,0.0,433.0
"Dumont","New Jersey","16000US3418400",6481.0,148.0,6333.0,4455.0,1878.0,1252.0,6333.0,4712.0,3912.0,800.0,159.0,641.0,1621.0,1457.0,164.0,17492.0,15692.0,13443.0,13400.0,43.0,436.0,379.0,57.0,1813.0,1787.0,26.0,1800.0
