city,state,geoid,Total housing units,Vacant housing units,Occupied housing units,Owner occupied housing units,Renter occupied housing units,Median gross rent,Total households,Family households,Family households - Married couple family,Family households - Other family,"Family households - Other family - M householder,no wife","Family households - Other family - F householder,no husband",Nonfamily households,Nonfamily households - Householder living alone,Nonfamily households - Householder not living alone,Total household population,In family households,In family households - married couple,In family households - married couple - Relatives,In family households - married couple - Nonrelatives,"In family households - M householder,no wife","In family households - M householder,no wife - Relatives","In family households - M householder,no wife - Nonrelatives","In family households - F householder,no husband","In family households - F householder,no husband - Relatives","In family households - F householder,no husband - Nonrelatives",In nonfamily households
"Newton","New Jersey","16000US3451930",3691.0,297.0,3394.0,1736.0,1658.0,1006.0,3394.0,1866.0,1256.0,610.0,118.0,492.0,1528.0,1377.0,151.0,7480.0,5668.0,4014.0,3988.0,26.0,347.0,329.0,18.0,1307.0,1295.0,12.0,1812.0
"New Village","New Jersey","16000US3452050",162.0,0.0,162.0,131.0,31.0,1156.0,162.0,115.0,100.0,15.0,15.0,0.0,47.0,35.0,12.0,389.0,329.0,298.0,298.0,0.0,31.0,31.0,0.0,0.0,0.0,0.0,60.0
"North Arlington","New Jersey","16000US3452320",6399.0,427.0,5972.0,3275.0,2697.0,1184.0,5972.0,4392.0,3404.0,988.0,206.0,782.0,1580.0,1351.0,229.0,15379.0,13519.0,10664.0,10664.0,0.0,650.0,628.0,22.0,2205.0,2103.0,102.0,1860.0
"North Beach Haven","New Jersey","16000US3452410",5733.0,4711.0,1022.0,937.0,85.0,775.0,1022.0,737.0,700.0,37.0,12.0,25.0,285.0,277.0,8.0,2145.0,1852.0,1750.0,1741.0,9.0,32.0,32.0,0.0,70.0,70.0,0.0,293.0
"North Caldwell","New Jersey","16000US3452620",2118.0,0.0,2118.0,2024.0,94.0,880.0,2118.0,1701.0,1551.0,150.0,50.0,100.0,417.0,357.0,60.0,6273.0,5763.0,5306.0,5261.0,45.0,160.0,137.0,23.0,297.0,297.0,0.0,510.0
"North Cape May","New Jersey","16000US3452650",2320.0,896.0,1424.0,1065.0,359.0,923.0,1424.0,936.0,643.0,293.0,131.0,162.0,488.0,396.0,92.0,3123.0,2548.0,1723.0,1723.0,0.0,444.0,332.0,112.0,381.0,373.0,8.0,575.0
"Northfield","New Jersey","16000US3452950",3417.0,167.0,3250.0,2977.0,273.0,1316.0,3250.0,2278.0,1731.0,547.0,126.0,421.0,972.0,856.0,116.0,8440.0,7336.0,5667.0,5608.0,59.0,421.0,415.0,6.0,1248.0,1163.0,85.0,1104.0
"North Haledon","New Jersey","16000US3453040",2871.0,67.0,2804.0,2543.0,261.0,1558.0,2804.0,2316.0,1948.0,368.0,127.0,241.0,488.0,414.0,74.0,8154.0,7526.0,6308.0,6284.0,24.0,354.0,293.0,61.0,864.0,827.0,37.0,628.0
"North Middletown","New Jersey","16000US3453205",1089.0,87.0,1002.0,804.0,198.0,1707.0,1002.0,797.0,633.0,164.0,37.0,127.0,205.0,141.0,64.0,3148.0,2847.0,2293.0,2293.0,0.0,107.0,86.0,21.0,447.0,408.0,39.0,301.0
"North Plainfield","New Jersey","16000US3453280",7707.0,517.0,7190.0,4031.0,3159.0,1150.0,7190.0,5093.0,3525.0,1568.0,441.0,1127.0,2097.0,1456.0,641.0,21921.0,18581.0,13192.0,12710.0,482.0,1657.0,1313.0,344.0,3732.0,3279.0,453.0,3340.0
"Northvale","New Jersey","16000US3453430",1541.0,64.0,1477.0,1311.0,166.0,1297.0,1477.0,1208.0,914.0,294.0,98.0,196.0,269.0,212.0,57.0,4693.0,4364.0,3310.0,3254.0,56.0,334.0,322.0,12.0,720.0,592.0,128.0,329.0
"North Wildwood","New Jersey","16000US3453490",8747.0,6681.0,2066.0,1444.0,622.0,1102.0,2066.0,1261.0,960.0,301.0,133.0,168.0,805.0,742.0,63.0,4042.0,3195.0,2329.0,2329.0,0.0,348.0,253.0,95.0,518.0,482.0,36.0,847.0
"Norwood","New Jersey","16000US3453610",1860.0,50.0,1810.0,1457.0,353.0,1736.0,1810.0,1499.0,1378.0,121.0,32.0,89.0,311.0,280.0,31.0,5458.0,5111.0,4754.0,4693.0,61.0,163.0,163.0,0.0,194.0,194.0,0.0,347.0
"Oakhurst","New Jersey","16000US3453790",1440.0,105.0,1335.0,1213.0,122.0,2001.0,1335.0,1136.0,985.0,151.0,41.0,110.0,199.0,168.0,31.0,4161.0,3852.0,3406.0,3395.0,11.0,84.0,84.0,0.0,362.0,339.0,23.0,309.0
"Oakland","New Jersey","16000US3453850",4325.0,91.0,4234.0,4002.0,232.0,1563.0,4234.0,3531.0,2963.0,568.0,182.0,386.0,703.0,509.0,194.0,12558.0,11532.0,9758.0,9731.0,27.0,592.0,537.0,55.0,1182.0,1157.0,25.0,1026.0
"Oaklyn","New Jersey","16000US3453880",1874.0,96.0,1778.0,1245.0,533.0,808.0,1778.0,950.0,723.0,227.0,74.0,153.0,828.0,756.0,72.0,4038.0,3141.0,2405.0,2366.0,39.0,179.0,179.0,0.0,557.0,487.0,70.0,897.0
"Oak Valley","New Jersey","16000US3454060",1275.0,0.0,1275.0,1167.0,108.0,1273.0,1275.0,1041.0,737.0,304.0,53.0,251.0,234.0,199.0,35.0,3565.0,3255.0,2366.0,2366.0,0.0,153.0,153.0,0.0,736.0,672.0,64.0,310.0
"Ocean Acres","New Jersey","16000US3454315",5907.0,400.0,5507.0,5083.0,424.0,1592.0,5507.0,4444.0,3666.0,778.0,177.0,601.0,1063.0,897.0,166.0,16249.0,14971.0,12615.0,12570.0,45.0,453.0,425.0,28.0,1903.0,1868.0,35.0,1278.0
"Ocean City","New Jersey","16000US3454360",20056.0,14247.0,5809.0,3696.0,2113.0,982.0,5809.0,3436.0,2649.0,787.0,236.0,551.0,2373.0,2139.0,234.0,11539.0,8931.0,6874.0,6773.0,101.0,536.0,499.0,37.0,1521.0,1490.0,31.0,2608.0
"Ocean Gate","New Jersey","16000US3454450",1117.0,356.0,761.0,546.0,215.0,1169.0,761.0,574.0,325.0,249.0,75.0,174.0,187.0,132.0,55.0,1889.0,1632.0,963.0,963.0,0.0,184.0,177.0,7.0,485.0,465.0,20.0,257.0
"Ocean Grove","New Jersey","16000US3454480",3044.0,1273.0,1771.0,956.0,815.0,992.0,1771.0,579.0,374.0,205.0,67.0,138.0,1192.0,997.0,195.0,3087.0,1654.0,1093.0,1093.0,0.0,194.0,185.0,9.0,367.0,367.0,0.0,1433.0
"Oceanport","New Jersey","16000US3454570",2365.0,226.0,2139.0,1867.0,272.0,613.0,2139.0,1550.0,1281.0,269.0,66.0,203.0,589.0,547.0,42.0,5753.0,5117.0,4290.0,4290.0,0.0,198.0,198.0,0.0,629.0,540.0,89.0,636.0
"Ogdensburg","New Jersey","16000US3454660",941.0,91.0,850.0,720.0,130.0,1238.0,850.0,641.0,552.0,89.0,6.0,83.0,209.0,153.0,56.0,2309.0,2034.0,1831.0,1831.0,0.0,12.0,12.0,0.0,191.0,177.0,14.0,275.0
"Old Bridge","New Jersey","16000US3454690",7860.0,217.0,7643.0,6577.0,1066.0,785.0,7643.0,6274.0,5345.0,929.0,278.0,651.0,1369.0,1088.0,281.0,23520.0,21745.0,18765.0,18704.0,61.0,924.0,827.0,97.0,2056.0,1950.0,106.0,1775.0
"Old Tappan","New Jersey","16000US3454870",1961.0,182.0,1779.0,1622.0,157.0,2001.0,1779.0,1524.0,1391.0,133.0,7.0,126.0,255.0,236.0,19.0,5732.0,5449.0,5066.0,5066.0,0.0,14.0,14.0,0.0,369.0,357.0,12.0,283.0
"Olivet","New Jersey","16000US3454960",593.0,10.0,583.0,573.0,10.0,,583.0,502.0,484.0,18.0,0.0,18.0,81.0,81.0,0.0,1641.0,1560.0,1485.0,1485.0,0.0,0.0,0.0,0.0,75.0,75.0,0.0,81.0
"Oradell","New Jersey","16000US3454990",2707.0,35.0,2672.0,2435.0,237.0,1254.0,2672.0,2111.0,1949.0,162.0,8.0,154.0,561.0,476.0,85.0,7816.0,7129.0,6656.0,6637.0,19.0,35.0,35.0,0.0,438.0,412.0,26.0,687.0
"Oxford","New Jersey","16000US3455500",499.0,23.0,476.0,409.0,67.0,815.0,476.0,317.0,229.0,88.0,23.0,65.0,159.0,132.0,27.0,1137.0,952.0,710.0,710.0,0.0,55.0,55.0,0.0,187.0,187.0,0.0,185.0
"Palisades Park","New Jersey","16000US3455770",7845.0,534.0,7311.0,2327.0,4984.0,1399.0,7311.0,5165.0,3543.0,1622.0,810.0,812.0,2146.0,1690.0,456.0,19546.0,16674.0,11491.0,11218.0,273.0,2819.0,2647.0,172.0,2364.0,2180.0,184.0,2872.0
"Palmyra","New Jersey","16000US3455800",3427.0,397.0,3030.0,2349.0,681.0,1136.0,3030.0,1885.0,1460.0,425.0,112.0,313.0,1145.0,969.0,176.0,7408.0,6017.0,4587.0,4492.0,95.0,419.0,387.0,32.0,1011.0,952.0,59.0,1391.0
"Panther Valley","New Jersey","16000US3455895",1640.0,25.0,1615.0,1485.0,130.0,1848.0,1615.0,864.0,727.0,137.0,17.0,120.0,751.0,637.0,114.0,3327.0,2476.0,2107.0,2095.0,12.0,62.0,56.0,6.0,307.0,288.0,19.0,851.0
"Paramus","New Jersey","16000US3455950",8852.0,319.0,8533.0,7601.0,932.0,1812.0,8533.0,7043.0,6054.0,989.0,114.0,875.0,1490.0,1252.0,238.0,25196.0,23416.0,20257.0,20177.0,80.0,399.0,366.0,33.0,2760.0,2652.0,108.0,1780.0
"Park Ridge","New Jersey","16000US3456130",3333.0,183.0,3150.0,2472.0,678.0,1367.0,3150.0,2304.0,1961.0,343.0,49.0,294.0,846.0,784.0,62.0,8501.0,7589.0,6555.0,6541.0,14.0,130.0,130.0,0.0,904.0,815.0,89.0,912.0
"Passaic","New Jersey","16000US3456550",20340.0,1574.0,18766.0,3800.0,14966.0,1011.0,18766.0,14248.0,6117.0,8131.0,1695.0,6436.0,4518.0,3799.0,719.0,69780.0,63991.0,29475.0,28384.0,1091.0,7460.0,6445.0,1015.0,27056.0,25344.0,1712.0,5789.0
"Paterson","New Jersey","16000US3457000",48914.0,5076.0,43838.0,11403.0,32435.0,1070.0,43838.0,31905.0,15121.0,16784.0,3654.0,13130.0,11933.0,10330.0,1603.0,142884.0,128590.0,63373.0,62788.0,585.0,13779.0,12050.0,1729.0,51438.0,49969.0,1469.0,14294.0
"Paulsboro","New Jersey","16000US3457150",2670.0,344.0,2326.0,1425.0,901.0,879.0,2326.0,1572.0,698.0,874.0,191.0,683.0,754.0,682.0,72.0,6086.0,5259.0,2508.0,2479.0,29.0,618.0,538.0,80.0,2133.0,2117.0,16.0,827.0
"Peapack And Gladstone","New Jersey","16000US3457300",970.0,39.0,931.0,725.0,206.0,1458.0,931.0,696.0,590.0,106.0,11.0,95.0,235.0,208.0,27.0,2401.0,2135.0,1766.0,1757.0,9.0,50.0,45.0,5.0,319.0,293.0,26.0,266.0
"Pedricktown","New Jersey","16000US3457360",273.0,11.0,262.0,184.0,78.0,1083.0,262.0,232.0,140.0,92.0,47.0,45.0,30.0,22.0,8.0,790.0,748.0,459.0,459.0,0.0,127.0,99.0,28.0,162.0,162.0,0.0,42.0
"Pemberton","New Jersey","16000US3457480",681.0,51.0,630.0,413.0,217.0,913.0,630.0,390.0,278.0,112.0,41.0,71.0,240.0,184.0,56.0,1420.0,1079.0,728.0,719.0,9.0,124.0,116.0,8.0,227.0,216.0,11.0,341.0
"Pemberton Heights","New Jersey","16000US3457540",1156.0,0.0,1156.0,623.0,533.0,798.0,1156.0,556.0,430.0,126.0,31.0,95.0,600.0,498.0,102.0,2664.0,1861.0,1371.0,1371.0,0.0,166.0,149.0,17.0,324.0,285.0,39.0,803.0
"Pennington","New Jersey","16000US3457600",1028.0,12.0,1016.0,811.0,205.0,1354.0,1016.0,680.0,580.0,100.0,22.0,78.0,336.0,280.0,56.0,2569.0,2135.0,1830.0,1830.0,0.0,53.0,41.0,12.0,252.0,252.0,0.0,434.0
"Penns Grove","New Jersey","16000US3457750",2352.0,344.0,2008.0,785.0,1223.0,999.0,2008.0,1253.0,444.0,809.0,188.0,621.0,755.0,610.0,145.0,5105.0,4189.0,1454.0,1433.0,21.0,743.0,660.0,83.0,1992.0,1821.0,171.0,916.0
"Pennsville","New Jersey","16000US3457840",5106.0,259.0,4847.0,3636.0,1211.0,945.0,4847.0,3124.0,2208.0,916.0,312.0,604.0,1723.0,1509.0,214.0,11816.0,9831.0,6854.0,6854.0,0.0,1007.0,893.0,114.0,1970.0,1801.0,169.0,1985.0
"Perth Amboy","New Jersey","16000US3458200",17864.0,1114.0,16750.0,5709.0,11041.0,1095.0,16750.0,12385.0,6463.0,5922.0,2043.0,3879.0,4365.0,3700.0,665.0,50742.0,45282.0,23693.0,23354.0,339.0,7911.0,7274.0,637.0,13678.0,13149.0,529.0,5460.0
"Phillipsburg","New Jersey","16000US3458350",6752.0,793.0,5959.0,3353.0,2606.0,853.0,5959.0,3910.0,2224.0,1686.0,326.0,1360.0,2049.0,1710.0,339.0,14860.0,12360.0,6906.0,6900.0,6.0,1024.0,849.0,175.0,4430.0,4129.0,301.0,2500.0
"Pine Beach","New Jersey","16000US3458590",892.0,89.0,803.0,712.0,91.0,1623.0,803.0,614.0,509.0,105.0,19.0,86.0,189.0,181.0,8.0,2139.0,1942.0,1617.0,1603.0,14.0,68.0,53.0,15.0,257.0,241.0,16.0,197.0
"Pine Hill","New Jersey","16000US3458770",4276.0,255.0,4021.0,2549.0,1472.0,897.0,4021.0,2621.0,1822.0,799.0,201.0,598.0,1400.0,1207.0,193.0,10298.0,8591.0,6186.0,6047.0,139.0,613.0,555.0,58.0,1792.0,1747.0,45.0,1707.0
"Pine Lake Park","New Jersey","16000US3458830",3048.0,168.0,2880.0,2638.0,242.0,1228.0,2880.0,2259.0,1712.0,547.0,203.0,344.0,621.0,499.0,122.0,8322.0,7567.0,5784.0,5766.0,18.0,601.0,568.0,33.0,1182.0,1016.0,166.0,755.0
"Pine Ridge At Crestwood","New Jersey","16000US3458852",1964.0,444.0,1520.0,1357.0,163.0,819.0,1520.0,767.0,660.0,107.0,17.0,90.0,753.0,743.0,10.0,2375.0,1612.0,1388.0,1388.0,0.0,36.0,36.0,0.0,188.0,188.0,0.0,763.0
"Pine Valley","New Jersey","16000US3458920",21.0,14.0,7.0,7.0,0.0,,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Pitman","New Jersey","16000US3459070",3783.0,187.0,3596.0,2610.0,986.0,921.0,3596.0,2275.0,1846.0,429.0,124.0,305.0,1321.0,1072.0,249.0,8910.0,7291.0,6046.0,6046.0,0.0,286.0,280.0,6.0,959.0,909.0,50.0,1619.0
"Plainfield","New Jersey","16000US3459190",16086.0,1990.0,14096.0,6967.0,7129.0,1139.0,14096.0,10110.0,4746.0,5364.0,1599.0,3765.0,3986.0,3139.0,847.0,49287.0,43134.0,19802.0,18259.0,1543.0,7340.0,5490.0,1850.0,15992.0,14256.0,1736.0,6153.0
"Plainsboro Center","New Jersey","16000US3459285",1372.0,95.0,1277.0,505.0,772.0,1143.0,1277.0,653.0,542.0,111.0,18.0,93.0,624.0,565.0,59.0,2512.0,1826.0,1472.0,1472.0,0.0,67.0,67.0,0.0,287.0,276.0,11.0,686.0
"Pleasant Plains","New Jersey","16000US3459500",255.0,42.0,213.0,159.0,54.0,2001.0,213.0,213.0,198.0,15.0,0.0,15.0,0.0,0.0,0.0,840.0,840.0,767.0,767.0,0.0,0.0,0.0,0.0,73.0,73.0,0.0,0.0
"Pleasantville","New Jersey","16000US3459640",7163.0,915.0,6248.0,3393.0,2855.0,1104.0,6248.0,4412.0,1770.0,2642.0,651.0,1991.0,1836.0,1582.0,254.0,20129.0,17881.0,6870.0,6638.0,232.0,2378.0,2117.0,261.0,8633.0,7742.0,891.0,2248.0
"Point Pleasant","New Jersey","16000US3459880",8141.0,890.0,7251.0,5955.0,1296.0,1300.0,7251.0,5094.0,4057.0,1037.0,243.0,794.0,2157.0,1880.0,277.0,18369.0,15843.0,12838.0,12819.0,19.0,666.0,604.0,62.0,2339.0,2135.0,204.0,2526.0
"Point Pleasant Beach","New Jersey","16000US3459910",3378.0,1344.0,2034.0,1130.0,904.0,1460.0,2034.0,1213.0,873.0,340.0,62.0,278.0,821.0,720.0,101.0,4628.0,3580.0,2522.0,2522.0,0.0,155.0,141.0,14.0,903.0,823.0,80.0,1048.0
"Pomona","New Jersey","16000US3460030",1934.0,47.0,1887.0,1659.0,228.0,918.0,1887.0,1512.0,1240.0,272.0,86.0,186.0,375.0,270.0,105.0,6368.0,5757.0,4742.0,4693.0,49.0,387.0,359.0,28.0,628.0,616.0,12.0,611.0
"Pompton Lakes","New Jersey","16000US3460090",4298.0,267.0,4031.0,3156.0,875.0,1267.0,4031.0,2844.0,2307.0,537.0,163.0,374.0,1187.0,1028.0,159.0,11056.0,9685.0,7922.0,7758.0,164.0,554.0,479.0,75.0,1209.0,1151.0,58.0,1371.0
"Port Colden","New Jersey","16000US3460210",83.0,38.0,45.0,45.0,0.0,,45.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
"Port Monmouth","New Jersey","16000US3460360",1591.0,122.0,1469.0,1167.0,302.0,1369.0,1469.0,1111.0,878.0,233.0,54.0,179.0,358.0,333.0,25.0,4202.0,3818.0,3073.0,3073.0,0.0,208.0,202.0,6.0,537.0,506.0,31.0,384.0
"Port Murray","New Jersey","16000US3460450",66.0,0.0,66.0,14.0,52.0,1163.0,66.0,26.0,14.0,12.0,0.0,12.0,40.0,40.0,0.0,120.0,80.0,41.0,41.0,0.0,0.0,0.0,0.0,39.0,39.0,0.0,40.0
"Port Norris","New Jersey","16000US3460510",682.0,68.0,614.0,499.0,115.0,1169.0,614.0,467.0,275.0,192.0,75.0,117.0,147.0,116.0,31.0,1768.0,1594.0,891.0,891.0,0.0,249.0,210.0,39.0,454.0,337.0,117.0,174.0
"Port Reading","New Jersey","16000US3460540",1267.0,39.0,1228.0,984.0,244.0,1058.0,1228.0,971.0,752.0,219.0,31.0,188.0,257.0,217.0,40.0,3563.0,3247.0,2503.0,2490.0,13.0,104.0,89.0,15.0,640.0,640.0,0.0,316.0
"Port Republic","New Jersey","16000US3460600",392.0,29.0,363.0,325.0,38.0,1208.0,363.0,292.0,254.0,38.0,7.0,31.0,71.0,65.0,6.0,982.0,904.0,801.0,765.0,36.0,15.0,15.0,0.0,88.0,85.0,3.0,78.0
"Presidential Lakes Estates","New Jersey","16000US3460840",841.0,0.0,841.0,800.0,41.0,1946.0,841.0,695.0,547.0,148.0,39.0,109.0,146.0,127.0,19.0,2683.0,2493.0,1971.0,1971.0,0.0,136.0,136.0,0.0,386.0,370.0,16.0,190.0
"Princeton","New Jersey","16000US3460900",3359.0,355.0,3004.0,1364.0,1640.0,1596.0,3004.0,1564.0,1257.0,307.0,98.0,209.0,1440.0,1085.0,355.0,6917.0,4847.0,3876.0,3873.0,3.0,321.0,321.0,0.0,650.0,640.0,10.0,2070.0
"Princeton Junction","New Jersey","16000US3460960",844.0,16.0,828.0,571.0,257.0,1536.0,828.0,548.0,524.0,24.0,0.0,24.0,280.0,202.0,78.0,2252.0,1801.0,1749.0,1749.0,0.0,0.0,0.0,0.0,52.0,52.0,0.0,451.0
"Princeton Meadows","New Jersey","16000US3460975",6095.0,395.0,5700.0,2216.0,3484.0,1240.0,5700.0,3278.0,2734.0,544.0,135.0,409.0,2422.0,1914.0,508.0,13474.0,10411.0,8845.0,8832.0,13.0,351.0,351.0,0.0,1215.0,1176.0,39.0,3063.0
"Prospect Park","New Jersey","16000US3461170",1876.0,256.0,1620.0,836.0,784.0,1259.0,1620.0,1304.0,708.0,596.0,96.0,500.0,316.0,282.0,34.0,5852.0,5487.0,3040.0,3028.0,12.0,456.0,390.0,66.0,1991.0,1944.0,47.0,365.0
"Quinton","New Jersey","16000US3461440",202.0,5.0,197.0,138.0,59.0,896.0,197.0,118.0,108.0,10.0,6.0,4.0,79.0,67.0,12.0,500.0,409.0,377.0,377.0,0.0,19.0,12.0,7.0,13.0,13.0,0.0,91.0
"Rahway","New Jersey","16000US3461530",11490.0,982.0,10508.0,6126.0,4382.0,1108.0,10508.0,6552.0,4281.0,2271.0,648.0,1623.0,3956.0,3349.0,607.0,27475.0,22825.0,15024.0,14657.0,367.0,2657.0,2089.0,568.0,5144.0,4756.0,388.0,4650.0
"Ramblewood","New Jersey","16000US3461650",2344.0,43.0,2301.0,1710.0,591.0,1375.0,2301.0,1591.0,1335.0,256.0,31.0,225.0,710.0,591.0,119.0,5946.0,5088.0,4412.0,4412.0,0.0,78.0,78.0,0.0,598.0,586.0,12.0,858.0
"Ramsey","New Jersey","16000US3461680",5508.0,166.0,5342.0,4526.0,816.0,1377.0,5342.0,3925.0,3365.0,560.0,142.0,418.0,1417.0,1256.0,161.0,14461.0,12860.0,11430.0,11412.0,18.0,353.0,340.0,13.0,1077.0,1059.0,18.0,1601.0
"Ramtown","New Jersey","16000US3461725",1886.0,76.0,1810.0,1767.0,43.0,2001.0,1810.0,1607.0,1392.0,215.0,14.0,201.0,203.0,174.0,29.0,6056.0,5820.0,5230.0,5230.0,0.0,49.0,31.0,18.0,541.0,528.0,13.0,236.0
"Raritan","New Jersey","16000US3461980",2958.0,262.0,2696.0,1680.0,1016.0,1253.0,2696.0,1763.0,1349.0,414.0,118.0,296.0,933.0,810.0,123.0,6961.0,5768.0,4615.0,4583.0,32.0,341.0,307.0,34.0,812.0,798.0,14.0,1193.0
"Red Bank","New Jersey","16000US3462430",5954.0,640.0,5314.0,2521.0,2793.0,1282.0,5314.0,2291.0,1430.0,861.0,278.0,583.0,3023.0,2437.0,586.0,11995.0,7948.0,4616.0,4581.0,35.0,1116.0,1020.0,96.0,2216.0,1967.0,249.0,4047.0
"Richwood","New Jersey","16000US3462820",897.0,22.0,875.0,847.0,28.0,,875.0,828.0,771.0,57.0,0.0,57.0,47.0,39.0,8.0,3081.0,3018.0,2882.0,2882.0,0.0,0.0,0.0,0.0,136.0,136.0,0.0,63.0
"Ridgefield","New Jersey","16000US3462910",4354.0,199.0,4155.0,2268.0,1887.0,1261.0,4155.0,2888.0,2217.0,671.0,199.0,472.0,1267.0,1179.0,88.0,11073.0,9710.0,7678.0,7670.0,8.0,649.0,649.0,0.0,1383.0,1356.0,27.0,1363.0
"Ridgefield Park","New Jersey","16000US3462940",4920.0,319.0,4601.0,2699.0,1902.0,1228.0,4601.0,3184.0,2393.0,791.0,255.0,536.0,1417.0,1368.0,49.0,12736.0,11264.0,8655.0,8566.0,89.0,861.0,726.0,135.0,1748.0,1732.0,16.0,1472.0
"Ridgewood","New Jersey","16000US3463000",8474.0,251.0,8223.0,6441.0,1782.0,1713.0,8223.0,6377.0,5685.0,692.0,132.0,560.0,1846.0,1507.0,339.0,24872.0,22168.0,20181.0,20070.0,111.0,316.0,288.0,28.0,1671.0,1600.0,71.0,2704.0
"Ringwood","New Jersey","16000US3463150",4054.0,123.0,3931.0,3827.0,104.0,1612.0,3931.0,3154.0,2931.0,223.0,70.0,153.0,777.0,619.0,158.0,12100.0,11148.0,10254.0,10056.0,198.0,249.0,240.0,9.0,645.0,613.0,32.0,952.0
"Rio Grande","New Jersey","16000US3463180",1632.0,610.0,1022.0,894.0,128.0,888.0,1022.0,681.0,435.0,246.0,91.0,155.0,341.0,278.0,63.0,2070.0,1670.0,1112.0,1112.0,0.0,240.0,179.0,61.0,318.0,318.0,0.0,400.0
"Riverdale","New Jersey","16000US3463300",1729.0,108.0,1621.0,1328.0,293.0,1741.0,1621.0,922.0,851.0,71.0,0.0,71.0,699.0,619.0,80.0,3642.0,2837.0,2655.0,2655.0,0.0,0.0,0.0,0.0,182.0,178.0,4.0,805.0
"River Edge","New Jersey","16000US3463360",4138.0,86.0,4052.0,3029.0,1023.0,1415.0,4052.0,3101.0,2701.0,400.0,80.0,320.0,951.0,840.0,111.0,11324.0,10253.0,9132.0,9122.0,10.0,224.0,210.0,14.0,897.0,897.0,0.0,1071.0
"Riverton","New Jersey","16000US3463660",1131.0,29.0,1102.0,864.0,238.0,973.0,1102.0,767.0,630.0,137.0,43.0,94.0,335.0,309.0,26.0,2696.0,2320.0,1949.0,1943.0,6.0,125.0,118.0,7.0,246.0,246.0,0.0,376.0
"Robbinsville","New Jersey","16000US3463840",1245.0,51.0,1194.0,1009.0,185.0,1427.0,1194.0,776.0,643.0,133.0,15.0,118.0,418.0,371.0,47.0,2990.0,2523.0,2198.0,2198.0,0.0,58.0,58.0,0.0,267.0,244.0,23.0,467.0
"Robertsville","New Jersey","16000US3463900",3505.0,129.0,3376.0,3147.0,229.0,1167.0,3376.0,2866.0,2676.0,190.0,36.0,154.0,510.0,438.0,72.0,10293.0,9712.0,9042.0,9042.0,0.0,157.0,130.0,27.0,513.0,513.0,0.0,581.0
"Rockaway","New Jersey","16000US3464050",2604.0,159.0,2445.0,1616.0,829.0,1286.0,2445.0,1745.0,1335.0,410.0,102.0,308.0,700.0,487.0,213.0,6442.0,5502.0,4302.0,4302.0,0.0,285.0,275.0,10.0,915.0,873.0,42.0,940.0
"Rockleigh","New Jersey","16000US3464170",74.0,11.0,63.0,63.0,0.0,,63.0,57.0,53.0,4.0,0.0,4.0,6.0,2.0,4.0,219.0,209.0,187.0,187.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,10.0
"Rocky Hill","New Jersey","16000US3464320",251.0,20.0,231.0,204.0,27.0,1143.0,231.0,158.0,143.0,15.0,2.0,13.0,73.0,62.0,11.0,541.0,457.0,412.0,410.0,2.0,5.0,5.0,0.0,40.0,40.0,0.0,84.0
"Roebling","New Jersey","16000US3464350",1620.0,125.0,1495.0,1281.0,214.0,1010.0,1495.0,1035.0,583.0,452.0,164.0,288.0,460.0,330.0,130.0,3875.0,3257.0,1973.0,1947.0,26.0,469.0,452.0,17.0,815.0,764.0,51.0,618.0
"Roosevelt","New Jersey","16000US3464410",288.0,13.0,275.0,227.0,48.0,1375.0,275.0,201.0,180.0,21.0,3.0,18.0,74.0,55.0,19.0,833.0,740.0,685.0,685.0,0.0,11.0,7.0,4.0,44.0,44.0,0.0,93.0
"Roseland","New Jersey","16000US3464590",2494.0,53.0,2441.0,1968.0,473.0,1782.0,2441.0,1668.0,1428.0,240.0,81.0,159.0,773.0,641.0,132.0,5812.0,4882.0,4135.0,4110.0,25.0,292.0,292.0,0.0,455.0,424.0,31.0,930.0
"Roselle","New Jersey","16000US3464620",8978.0,539.0,8439.0,4673.0,3766.0,1080.0,8439.0,5485.0,3210.0,2275.0,375.0,1900.0,2954.0,2789.0,165.0,21157.0,17961.0,10964.0,10843.0,121.0,1180.0,1137.0,43.0,5817.0,5636.0,181.0,3196.0
"Roselle Park","New Jersey","16000US3464650",5678.0,490.0,5188.0,3166.0,2022.0,1168.0,5188.0,3479.0,2581.0,898.0,185.0,713.0,1709.0,1545.0,164.0,13305.0,11399.0,8583.0,8563.0,20.0,690.0,622.0,68.0,2126.0,1990.0,136.0,1906.0
"Rosenhayn","New Jersey","16000US3464740",442.0,37.0,405.0,365.0,40.0,952.0,405.0,334.0,216.0,118.0,50.0,68.0,71.0,65.0,6.0,1188.0,1110.0,657.0,657.0,0.0,234.0,206.0,28.0,219.0,214.0,5.0,78.0
"Ross Corner","New Jersey","16000US3464860",0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
