County,Municipality,DLGSCode,LD,CD,Area15,Area16,Area17,Area18,Dens15,Dens16,Dens17,Dens18,Pop15,Pop16,Pop17,Pop18,PopE15,PopE16,PopE17,PopE18,PopCh15,PopCh16,PopCh17,PopCh18
Burlington,Burlington Twp,306,7,3,13.42,13.42,13.42,13.42,1701,1695,1701,1678,22594,22594,22594,22594,22826,22747,22824,22524,1.03,0.68,1.02,-0.31
Burlington,Chesterfield,307,12,3,21.33,21.33,21.33,21.33,355,351,356,352,7699,7699,7699,7699,7572,7490,7587,7500,-1.65,-2.71,-1.45,-2.58
Burlington,Cinnaminson,308,7,3,7.5,7.5,7.5,7.5,2220,2204,2199,2183,15569,15569,15569,15569,16651,16532,16495,16375,6.95,6.19,5.95,5.18
Burlington,Delanco,309,7,3,2.36,2.36,2.36,2.36,1924,1903,1898,1882,4283,4283,4283,4283,4541,4491,4479,4442,6.02,4.86,4.58,3.71
Burlington,Delran,310,7,3,6.59,6.59,6.59,6.59,2544,2527,2522,2507,16896,16896,16896,16896,16767,16656,16623,16524,-0.76,-1.42,-1.62,-2.2
Burlington,Eastampton,311,8,3,5.75,5.75,5.75,5.75,1045,1039,1035,1035,6069,6069,6069,6069,6011,5974,5953,5949,-0.96,-1.57,-1.91,-1.98
Burlington,Edgewater Park,312,7,3,2.89,2.89,2.89,2.89,3041,3029,3024,3001,8881,8881,8881,8881,8788,8753,8738,8674,-1.05,-1.44,-1.61,-2.33
Burlington,Evesham,313,8,3,29.28,29.28,29.28,29.28,1557,1549,1550,1539,45538,45538,45538,45538,45577,45351,45381,45060,0.09,-0.41,-0.34,-1.05
Burlington,Fieldsboro,314,7,3,0.27,0.27,0.27,0.27,1970,1974,1967,1996,540,540,540,540,532,533,531,539,-1.48,-1.3,-1.67,-0.19
Burlington,Florence,315,7,3,9.78,9.78,9.78,9.78,1297,1295,1295,1282,12109,12109,12109,12109,12688,12664,12669,12540,4.78,4.58,4.62,3.56
Burlington,Hainesport,316,8,3,6.46,6.46,6.46,6.46,937,940,938,929,6110,6110,6110,6110,6053,6075,6058,6003,-0.93,-0.57,-0.85,-1.75
Burlington,Lumberton,317,8,3,12.92,12.92,12.92,12.92,962,954,951,945,12559,12559,12559,12559,12428,12325,12290,12205,-1.04,-1.86,-2.14,-2.82
Burlington,Mansfield,318,8,3,21.74,21.74,21.74,21.74,394,395,395,392,8544,8544,8544,8544,8574,8591,8577,8527,0.35,0.55,0.39,-0.2
Burlington,Maple Shade,319,6,1,3.82,3.82,3.82,3.82,4964,4934,4927,4850,19131,19131,19131,19131,18963,18849,18821,18528,-0.88,-1.47,-1.62,-3.15
Burlington,Medford,320,8,3,38.92,38.92,38.92,38.92,602,602,604,600,23033,23033,23033,23033,23414,23440,23496,23355,1.65,1.77,2.01,1.4
Burlington,Medford Lakes,321,8,3,1.16,1.16,1.16,1.16,3522,3494,3459,3403,4146,4146,4146,4146,4085,4053,4013,3947,-1.47,-2.24,-3.21,-4.8
Burlington,Moorestown,322,7,3,14.69,14.69,14.69,14.69,1400,1400,1398,1386,20726,20726,20726,20726,20564,20565,20540,20355,-0.78,-0.78,-0.9,-1.79
Burlington,Mount Holly,323,8,3,2.81,2.81,2.81,2.81,3378,3390,3432,3404,9536,9536,9536,9536,9493,9526,9645,9566,-0.45,-0.1,1.14,0.31
Burlington,Mount Laurel,324,7,3,21.69,21.69,21.69,21.69,1929,1924,1921,1899,41864,41864,41864,41864,41842,41738,41662,41196,-0.05,-0.3,-0.48,-1.6
Burlington,New Hanover,325,12,3,22.18,22.18,22.18,22.18,364,367,338,362,7385,7385,7385,7385,8078,8129,7491,8033,9.38,10.07,1.44,8.77
Burlington,North Hanover,326,12,3,17.28,17.28,17.28,17.28,440,439,436,434,7678,7678,7678,7678,7609,7581,7540,7502,-0.9,-1.26,-1.8,-2.29
Burlington,Palmyra,327,7,1,1.86,1.86,1.86,1.86,3932,3893,3882,3850,7398,7398,7398,7398,7314,7241,7221,7161,-1.14,-2.12,-2.39,-3.2
