GEOID,pop2016
"34023003102",4669
"34023003201",3151
"34023003203",3685
"34023003300",5447
"34023003401",3686
"34023003500",3319
"34023003600",7266
"34023003700",3708
"34023003800",8338
"34023004000",4023
"34023004100",2571
"34023004200",3080
"34023004300",3928
"34023004400",4699
"34023004500",8332
"34023004600",5468
"34023004700",4202
"34023004800",5449
"34023004900",4985
"34023005000",5095
"34023005100",5854
"34023005200",5318
"34023005300",3730
"34023005500",3860
"34023005601",2840
"34023005602",7672
"34023005700",5252
"34023005800",5376
"34023006001",2362
"34023006002",8106
"34023006101",6507
"34023006103",5115
"34023006104",3971
"34023006203",9582
"34023006204",1793
"34023006205",6749
"34023006206",1707
"34023006207",6524
"34023006300",6993
"34023006403",2843
"34023006500",7116
"34023006601",2507
"34023006604",6647
"34023006605",3903
"34023006606",2951
"34023006607",2847
"34023006608",3701
"34023006701",3781
"34023006703",6131
"34023006800",4952
"34023006900",3253
"34023007000",7886
"34023007101",3516
"34023007102",4701
"34023007103",5354
"34023007202",4702
"34023007203",5005
"34023007301",3047
"34023007303",1851
"34023007304",6905
"34023007402",4352
"34023007500",3131
"34023007600",5563
"34023007702",5930
"34023007703",3430
"34023007704",2746
"34023007801",3295
"34023007804",5075
"34023007805",4679
"34023007806",4046
"34023007905",2244
"34023007906",1507
"34023007907",3200
"34023007908",4697
"34023007909",4331
"34023007910",3207
"34023007911",3615
"34023007912",7029
"34023008001",6904
"34023008101",4434
"34023008102",3859
"34023008103",2283
"34023008202",14134
"34023008204",4456
"34023008205",3377
"34023008206",3618
"34023008207",2662
"34023008208",12054
"34023008209",3527
"34023008300",5947
"34023008403",7546
"34023008404",3995
"34023008405",4882
"34023008406",2176
"34023008501",5810
"34023008502",5111
"34023008503",8974
"34023008504",6761
"34023008601",5170
"34023008602",5250
"34023008604",5950
"34023008605",2596
"34023008606",4154
"34023008700",3821
"34023008800",12831
"34023008900",4117
"34023009000",7622
"34023009100",3632
"34023009200",4852
"34023009300",5714
"34023009400",5554
"34025800100",4818
"34025800200",4289
"34025800400",3532
"34025800500",4382
"34025800601",5176
"34025800602",3295
"34025800701",5081
"34025800702",3724
"34025800800",6269
"34025800900",5618
"34025801000",4227
"34025801100",4202
"34025801200",3692
"34025801300",5881
"34025801400",4032
"34025801500",6348
"34025801600",5558
"34025801700",4230
"34025801800",5549
"34025801900",3270
"34025802000",3800
"34025802100",6233
"34025802200",3768
"34025802300",4499
"34025802400",5408
"34025802500",3015
"34025802600",4573
"34025802700",4048
"34025802800",4693
"34025802900",1988
"34025803000",5446
"34025803100",3380
"34025803201",3967
"34025803202",6159
"34025803300",6456
"34025803400",5060
"34025803500",2553
"34025803600",4507
"34025803700",5943
"34025803800",3147
"34025803900",3658
"34025804100",3221
"34025804200",5864
"34025804500",5101
"34025804600",2706
"34025804700",19
"34025804800",9905
"34025805001",4682
"34025805100",4344
"34025805300",5616
"34025805400",4751
"34025805500",4045
"34025805600",2452
"34025805700",3099
"34025805800",3790
"34025805900",5490
"34025806000",3820
"34025806100",3164
"34025806201",3491
"34025806202",4426
"34025806300",2339
"34025806400",4789
"34025806501",4104
"34025806502",3398
"34025806503",3994
"34025806504",2796
"34025806600",5401
"34025807003",4374
"34025807004",2876
"34025807100",2574
"34025807200",2280
"34025807300",3570
"34025807400",3133
"34025807500",2923
"34025807600",2946
"34025807700",4304
"34025807800",4273
"34025807900",3629
"34025808001",4191
"34025808002",2192
"34025808100",4702
"34025808200",4223
"34025808300",1761
"34025808401",2190
"34025808402",3457
"34025808500",6261
"34025808600",6118
"34025808701",4881
"34025808702",4144
"34025808800",4432
"34025808900",4595
"34025809000",1671
"34025809100",2945
"34025809200",1732
"34025809301",3139
"34025809302",2661
"34025809400",4709
"34025809501",8557
"34025809502",8421
"34025809600",7336
"34025809701",5509
"34025809703",4320
"34025809704",5990
"34025809901",4976
"34025809902",4698
"34025809903",274
"34025810001",5783
"34025810002",3536
"34025810003",5190
"34025810004",4094
"34025810101",4272
"34025810102",4170
"34025810200",12808
"34025810300",2078
"34025810401",4419
"34025810402",8054
"34025810501",4495
"34025810502",8043
"34025810503",3871
"34025810600",6234
"34025810700",1820
"34025810800",3510
"34025810900",2908
"34025811000",3617
"34025811101",5633
"34025811102",6685
"34025811200",6014
"34025811301",6286
"34025811303",4256
"34025811304",3134
"34025811401",6040
"34025811402",4073
"34025811501",6241
"34025811502",3596
"34025811600",1398
"34025811900",6906
"34025812000",1903
"34025812100",1394
"34025812200",3319
"34025812300",5142
"34025812400",1951
"34025812501",5995
"34025812502",5271
"34025990000",0
"34027040101",4048
"34027040102",6291
"34027040200",6968
"34027040300",8318
"34027040400",4226
"34027040500",3539
"34027040600",4162
"34027040701",5883
"34027040702",4249
"34027040801",5266
"34027040803",6560
"34027040804",3810
"34027040805",5880
"34027040900",4308
"34027041000",4547
"34027041100",3755
"34027041200",4274
"34027041300",4775
"34027041400",5953
"34027041500",5939
"34027041601",7384
"34027041602",2789
"34027041603",4543
"34027041604",4616
"34027041701",5784
"34027041702",3104
"34027041704",4738
"34027041705",1587
"34027041706",5615
"34027041801",2849
"34027041802",4868
"34027041803",4891
"34027041901",6133
"34027041902",4983
"34027042000",4679
"34027042100",4116
"34027042200",5600
"34027042301",2486
"34027042302",3139
"34027042500",3306
"34027042600",8366
"34027042700",4160
"34027042800",4721
"34027042900",3820
"34027043000",4467
"34027043100",3509
"34027043200",4246
"34027043301",3065
"34027043302",3025
"34027043303",3618
"34027043401",6971
"34027043402",5623
"34027043500",3356
"34027043600",5816
"34027043700",3696
"34027043800",5901
"34027043900",4730
"34027044000",5648
"34027044101",2997
"34027044102",5662
"34027044200",3843
"34027044300",6404
"34027044401",4396
"34027044403",5007
"34027044404",4376
"34027044501",6493
"34027044502",4520
"34027044601",4782
"34027044602",5680
"34027044701",4719
"34027044702",6010
"34027044800",7157
"34027044900",5941
"34027045000",4993
"34027045100",6521
"34027045200",3560
"34027045300",4665
"34027045401",5507
"34027045402",5065
"34027045501",4927
"34027045502",8479
"34027045602",1578
"34027045603",5001
